NO,SECCODE,BUYSELL,TIME,ORDERNO,ACTION,PRICE,VOLUME,TRADENO,TRADEPRICE
44,USD000UTSTOM,S,100000147014,43,1,65,1000,,
45,USD000UTSTOM,S,100000147028,44,1,66.995,1000,,
46,USD000UTSTOM,B,100000148818,45,1,60.54,10000,,
47,USD000UTSTOM,S,100000149282,46,1,65,2000,,
48,EUR_RUB__TOM,B,100000150280,47,1,76.065,1000000,,
49,USD000UTSTOM,B,100000150293,48,1,63.335,100000,,
50,USD000UTSTOM,B,100000150301,49,1,63.325,100000,,
51,EUR_RUB__TOM,S,100000150308,50,1,76.195,1000000,,
52,EURUSD000TOM,S,100000150319,51,1,1.20165,1000000,,
53,USD000UTSTOM,S,100000150707,52,1,63.42,100000,,
54,USD000UTSTOM,S,100000150783,53,1,65.3,3000,,
55,CNYRUB_TOM,B,100000151029,54,1,9.952,500000,,
56,CNYRUB_TOM,S,100000151306,55,1,9.986,500000,,
57,USD000UTSTOM,S,100000151457,56,1,65.5,1000,,
58,CNYRUB_TOM,B,100000151569,57,1,9.9546,3000000,,
59,CNYRUB_TOM,S,100000151818,58,1,9.984,3000000,,
60,USD000UTSTOM,S,100000152568,59,1,66.0125,1000,,
61,EURUSD000TOM,B,100000153199,60,1,1.20095,1000000,,
62,USD000UTSTOM,S,100000153676,61,1,66,1000,,
63,USD000UTSTOM,S,100000154347,62,1,64.4,30000,,
64,USD000UTSTOM,S,100000154617,63,1,63.41,40000,,
65,USD000UTSTOM,B,100000154923,64,1,63.21,40000,,
66,USD000UTSTOM,S,100000155210,65,1,63.41,40000,,
67,USD000UTSTOM,B,100000155510,66,1,63.21,40000,,
68,USD000UTSTOM,S,100000155800,67,1,63.41,40000,,
69,USD000UTSTOM,S,100000155930,68,1,66,2000,,
70,USD000UTSTOM,B,100000156083,69,1,63.21,40000,,
71,USD000UTSTOM,S,100000156099,70,1,66.4725,1000,,
72,USD000UTSTOM,S,100000156359,71,1,63.41,40000,,
73,USD000UTSTOM,S,100000157951,72,1,64.5475,1000,,
74,USD000UTSTOM,S,100000158171,73,1,65,4000,,
75,USD000UTSTOM,S,100000159741,74,1,64.795,1000,,
76,USD000UTSTOM,S,100000160699,75,1,66,1000,,
77,USD000UTSTOM,S,100000161547,76,1,63.925,1000,,
78,USD000UTSTOM,S,100000162808,77,1,65,3000,,
79,USD000UTSTOM,S,100000163338,78,1,64.5775,2000,,
80,USD000UTSTOM,S,100000164957,79,1,64,1000,,
81,USD000UTSTOM,S,100000164986,80,1,64.9925,1000,,
82,USD000UTSTOM,S,100000166673,81,1,66.5975,1000,,
83,USD000UTSTOM,S,100000166983,82,1,66.66,20000,,
84,USD000UTSTOM,S,100000168485,83,1,66.9975,1000,,
85,EUR_RUB__TOM,B,100000169014,84,1,75.9,3000000,,
86,USD000UTSTOM,S,100000169223,85,1,66.5,5000,,
87,USD000UTSTOM,S,100000170177,86,1,63.2,1000,,
88,USD000UTSTOM,B,100000170177,48,2,63.335,1000,168009383,63.335
89,USD000UTSTOM,S,100000170177,86,2,63.2,1000,168009383,63.335
90,USD000UTSTOM,S,100000171359,87,1,64.86,1000,,
91,USD000UTSTOM,B,100000172220,88,1,60.2,10000,,
92,USD000UTSTOM,S,100000173515,89,1,64,1000,,
93,USD000UTSTOM,B,100000174031,90,1,60.56,5000,,
94,USD000UTSTOM,S,100000175582,91,1,65,1000,,
95,USD000UTSTOM,S,100000175744,92,1,64.7975,1000,,
96,USD000UTSTOM,S,100000177567,93,1,65.7,4000,,
97,USD000UTSTOM,S,100000177735,94,1,65,1000,,
98,USD000UTSTOM,S,100000179309,95,1,67.05,9000,,
99,USD000UTSTOM,S,100000179949,96,1,64.99,1000,,
100,USD000UTSTOM,S,100000181275,97,1,65.3775,15000,,
101,USD000UTSTOM,S,100000182127,98,1,65,1000,,
102,USD000UTSTOM,B,100000182997,99,1,59,3000,,
103,USD000UTSTOM,S,100000184277,100,1,64.7,1000,,
104,USD000UTSTOM,B,100000184796,101,1,59.2,1000,,
105,USD000UTSTOM,S,100000186438,102,1,63.5,1000,,
106,USD000UTSTOM,B,100000186634,103,1,59.1,1000,,
107,USD000UTSTOM,B,100000188615,104,1,58.5,1000,,
108,USD000UTSTOM,S,100000188775,105,1,64.5,5000,,
109,USD000UTSTOM,B,100000190462,106,1,58.7,1000,,
110,USD000UTSTOM,S,100000190997,107,1,64.89,1000,,
111,USD000UTSTOM,B,100000192257,108,1,59.8,6000,,
112,USD000UTSTOM,S,100000193214,109,1,65,1000,,
113,USD000UTSTOM,S,100000194100,110,1,64.08,22000,,
114,USD000UTSTOM,B,100000194243,111,1,63.215,50000,,
115,USD000UTSTOM,S,100000195382,112,1,64.4925,10000,,
116,USD000UTSTOM,S,100000195907,113,1,65,1000,,
117,USD000UTSTOM,S,100000197747,114,1,65,1000,,
118,USD000UTSTOM,B,100000197757,115,1,59.1425,1000,,
119,USD000UTSTOM,S,100000197936,116,1,63.265,6000,,
120,USD000UTSTOM,B,100000197936,48,2,63.335,6000,168009384,63.335
121,USD000UTSTOM,S,100000197936,116,2,63.265,6000,168009384,63.335
122,USD000UTSTOM,B,100000198759,117,1,58.5025,100000,,
123,USD000UTSTOM,S,100000198788,118,1,67.0475,100000,,
124,USD000UTSTOM,S,100000199633,119,1,63.46,1000,,
125,USD000UTSTOM,B,100000200035,120,1,60.33,25000,,
126,EUR_RUB__TOM,B,100000200341,84,0,75.9,3000000,,
127,USD000UTSTOM,B,100000201492,121,1,58.5,5000,,
128,USD000UTSTOM,B,100000202226,122,1,60,1000,,
129,USD000UTSTOM,B,100000203340,123,1,59.555,50000,,
130,USD000UTSTOM,S,100000204443,124,1,63.5,1000,,
131,USD000UTSTOM,B,100000205168,125,1,59.255,50000,,
132,USD000UTSTOM,S,100000206666,126,1,65.02,1000,,
133,USD000UTSTOM,B,100000207027,127,1,59.1225,5000,,
134,USD000UTSTOM,S,100000208862,128,1,63.4425,1000,,
135,USD000UTSTOM,S,100000208905,129,1,64,3000,,
136,USD000UTSTOM,B,100000210722,130,1,60.25,1000,,
137,USD000UTSTOM,B,100000211088,131,1,60.14,1000,,
138,USD000UTSTOM,B,100000212506,132,1,60,1000,,
139,USD000UTSTOM,S,100000213622,133,1,65,5000,,
140,EUR_RUB__TOM,S,100000213676,134,1,78.5,3000,,
141,USD000UTSTOM,B,100000214363,135,1,60.3,1000,,
142,USD000UTSTOM,S,100000215874,136,1,65,10000,,
143,USD000UTSTOM,S,100000216219,137,1,67,1000,,
144,USD000UTSTOM,S,100000218092,138,1,65.12,4000,,
145,USD000UTSTOM,S,100000218135,139,1,64.64,1000,,
146,USD000UTSTOM,S,100000219962,140,1,63.9975,2000,,
147,USD000UTSTOM,S,100000220331,141,1,64.5,1000,,
148,USD000UTSTOM,S,100000221869,142,1,66,1000,,
149,USD000UTSTOM,B,100000223066,143,1,60.555,1000,,
150,USD000UTSTOM,S,100000223675,144,1,65,37000,,
151,USD000UTSTOM,B,100000225336,145,1,60,1000,,
152,USD000UTSTOM,B,100000225475,146,1,60.07,1000,,
153,USD000UTSTOM,S,100000227366,147,1,64,5000,,
154,EUR_RUB__TOM,S,100000227444,148,1,76.2325,200000,,
155,USD000UTSTOM,S,100000227565,149,1,63.8,3000,,
156,USD000UTSTOM,S,100000227991,118,0,67.0475,100000,,
157,USD000UTSTOM,S,100000227991,150,1,66.9925,100000,,
158,USD000UTSTOM,B,100000229170,151,1,60.0075,1000,,
159,USD000UTSTOM,S,100000229825,152,1,66.76,2000,,
160,USD000UTSTOM,B,100000231039,153,1,60,2000,,
161,USD000UTSTOM,S,100000232105,154,1,64,5000,,
162,USD000UTSTOM,B,100000232898,155,1,60,1000,,
163,USD000UTSTOM,S,100000234398,156,1,63.5,3000,,
164,USD000UTSTOM,B,100000234802,157,1,59.8,1000,,
165,USD000UTSTOM,S,100000236411,158,1,64.3,1000,,
166,USD000UTSTOM,S,100000236671,159,1,64.44,20000,,
167,USD000UTSTOM,S,100000238550,160,1,64.44,10000,,
168,USD000UTSTOM,S,100000238708,161,1,64.4,1000,,
169,USD000UTSTOM,S,100000240452,162,1,63.2875,10000,,
170,USD000UTSTOM,B,100000240452,48,2,63.335,10000,168009385,63.335
171,USD000UTSTOM,S,100000240452,162,2,63.2875,10000,168009385,63.335
172,USD000UTSTOM,B,100000240465,163,1,60,1000,,
173,USD000UTSTOM,S,100000241001,164,1,63.7,100000,,
174,USD000UTSTOM,S,100000242636,165,1,65,1000,,
175,USD000UTSTOM,S,100000243402,166,1,65.0025,5000,,
176,USD000UTSTOM,S,100000244506,167,1,64,1000,,
177,USD000UTSTOM,B,100000245606,168,1,60.3375,10000,,
178,GLDRUB_TOM,B,100000246041,169,1,2600,10,,
179,USD000UTSTOM,B,100000246371,170,1,59.75,5000,,
180,USD000UTSTOM,S,100000247837,171,1,63.3175,10000,,
181,USD000UTSTOM,B,100000247837,48,2,63.335,10000,168009386,63.335
182,USD000UTSTOM,S,100000247837,171,2,63.3175,10000,168009386,63.335
183,USD000UTSTOM,B,100000247847,172,1,60.1375,10000,,
184,USD000UTSTOM,B,100000248259,173,1,60.25,5000,,
185,USD000UTSTOM,B,100000250115,174,1,60.2,5000,,
186,USD000UTSTOM,B,100000250273,175,1,60.03,5000,,
187,EUR_RUB__TOM,B,100000251239,176,1,75.895,3000000,,
188,USD000UTSTOM,B,100000251983,177,1,60.1,5000,,
189,USD000UTSTOM,S,100000252563,178,1,64,1000,,
190,USD000UTSTOM,B,100000253917,179,1,60.15,5000,,
191,USD000UTSTOM,B,100000254812,180,1,60.1,2000,,
192,USD000UTSTOM,B,100000255775,181,1,60.05,5000,,
193,USD000UTSTOM,S,100000257066,182,1,64.5,1000,,
194,USD000UTSTOM,B,100000257679,183,1,60,5000,,
195,USD000UTSTOM,B,100000259259,184,1,59.5,1000,,
196,USD000UTSTOM,B,100000259549,185,1,60,5000,,
197,USD000UTSTOM,B,100000261459,186,1,60,1000,,
198,USD000UTSTOM,B,100000261489,187,1,60.5,5000,,
199,USD000UTSTOM,B,100000263160,188,1,63.1525,26000,,
200,USD000UTSTOM,B,100000263369,189,1,59.37,40000,,
201,USD000UTSTOM,S,100000263734,190,1,64.95,250000,,
202,USD000UTSTOM,S,100000265285,191,1,65,35000,,
203,USD000UTSTOM,B,100000265977,192,1,60.15,1000,,
204,USD000UTSTOM,B,100000267169,193,1,60.5,7000,,
205,USD000UTSTOM,B,100000268286,194,1,60.005,1000,,
206,USD000UTSTOM,B,100000269054,195,1,60.4,3000,,
207,USD000UTSTOM,B,100000270553,196,1,60.125,10000,,
208,USD000UTSTOM,B,100000270947,197,1,60.5025,1000,,
209,USD000UTSTOM,B,100000271553,198,1,62.9,8000,,
210,USD000UTSTOM,S,100000272854,199,1,64.8025,5000,,
211,USD000UTSTOM,B,100000272883,200,1,60.5,1000,,
212,USD000UTSTOM,B,100000274782,201,1,60.4475,1000,,
213,USD000UTSTOM,B,100000275164,202,1,60.12,5000,,
214,USD000UTSTOM,B,100000276692,203,1,60.6,3000,,
215,USD000UTSTOM,B,100000277544,204,1,60,5000,,
216,USD000UTSTOM,B,100000278522,205,1,60.585,1000,,
217,USD000UTSTOM,B,100000280058,206,1,59.22,5000,,
218,USD000UTSTOM,S,100000280410,207,1,67,13000,,
219,USD000UTSTOM,B,100000282300,208,1,60,1000,,
220,USD000UTSTOM,B,100000282337,209,1,60.45,5000,,
221,USD000UTSTOM,B,100000284262,210,1,60.7,1000,,
222,USD000UTSTOM,B,100000284718,211,1,59.6,2000,,
223,USD000UTSTOM,B,100000286171,212,1,60.5,5000,,
224,USD000UTSTOM,B,100000287059,213,1,60.1,1000,,
225,USD000UTSTOM,S,100000287843,214,1,64.07,10000,,
226,USD000UTSTOM,B,100000288017,215,1,60.7,2000,,
227,USD000UTSTOM,B,100000289459,216,1,60.005,15000,,
228,USD000UTSTOM,B,100000289908,217,1,60.505,1000,,
229,USD000UTSTOM,B,100000290443,117,0,58.5025,100000,,
230,USD000UTSTOM,B,100000290443,218,1,59.2575,100000,,
231,USD000UTSTOM,S,100000290892,219,1,63.7725,5000,,
232,USD000UTSTOM,B,100000291746,220,1,60.5,1000,,
233,USD000UTSTOM,B,100000291778,221,1,60.15,10000,,
234,SLVRUB_TOM,S,100000292216,222,1,34.72,1000,,
235,USD000UTSTOM,B,100000293670,223,1,60.33,5000,,
236,USD000UTSTOM,B,100000294085,224,1,60.3,1000,,
237,USD000UTSTOM,S,100000295267,225,1,63.41,100000,,
238,USD000UTSTOM,B,100000295982,226,1,60,9000,,
239,USD000UTSTOM,B,100000296565,227,1,60.1,1000,,
240,USD000UTSTOM,S,100000297906,228,1,65,1000,,
241,USD000UTSTOM,B,100000298872,229,1,60.2,2000,,
242,USD000UTSTOM,B,100000299824,230,1,60.64,5000,,
243,USD000UTSTOM,S,100000301224,231,1,63.8025,5000,,
244,USD000UTSTOM,B,100000301739,232,1,60.5,9000,,
245,USD000UTSTOM,B,100000303599,233,1,59,6000,,
246,USD000UTSTOM,B,100000303630,234,1,60.3,1000,,
247,USD000UTSTOM,S,100000304214,235,1,63.335,1000,,
248,USD000UTSTOM,B,100000304214,48,2,63.335,1000,168009387,63.335
249,USD000UTSTOM,S,100000304214,235,2,63.335,1000,168009387,63.335
250,EURUSD000TOM,B,100000304224,236,1,1.2009,1000000,,
251,USD000UTSTOM,B,100000305548,237,1,60.81,1000,,
252,USD000UTSTOM,B,100000306030,238,1,60.65,1000,,
253,USD000UTSTOM,B,100000307407,239,1,59.7,100000,,
254,USD000UTSTOM,B,100000307917,218,0,59.2575,100000,,
255,USD000UTSTOM,B,100000307917,240,1,59.7025,100000,,
256,USD000UTSTOM,B,100000308359,241,1,60.75,1000,,
257,USD000UTSTOM,B,100000309321,242,1,60,1000,,
258,USD000UTSTOM,S,100000310769,243,1,65,1000,,
259,USD000UTSTOM,B,100000311238,244,1,60.7725,1000,,
260,USD000UTSTOM,B,100000313057,245,1,59.6,1000,,
261,USD000UTSTOM,B,100000313077,246,1,60.8,2000,,
262,EUR_RUB__TOM,B,100000313731,247,1,75.9,3000000,,
263,EUR_RUB__TOM,B,100000313918,176,0,75.895,3000000,,
264,USD000UTSTOM,B,100000313983,248,1,61.2225,1000,,
265,USD000UTSTOM,B,100000314996,249,1,60.75,9000,,
266,USD000UTSTOM,B,100000315374,250,1,60.57,1000,,
267,USD000UTSTOM,S,100000316234,251,1,63.7775,1000,,
268,USD000UTSTOM,S,100000316760,150,0,66.9925,100000,,
269,USD000UTSTOM,S,100000316760,252,1,65.9975,100000,,
270,USD000UTSTOM,S,100000316924,253,1,64.0225,1000,,
271,USD000UTSTOM,B,100000317566,254,1,62.59,50000,,
272,USD000UTSTOM,B,100000317677,255,1,60.5575,3000,,
273,USD000UTSTOM,B,100000318957,256,1,61.245,1000,,
274,USD000UTSTOM,B,100000319190,257,1,61.76,20000,,
275,USD000UTSTOM,B,100000319675,240,0,59.7025,100000,,
276,USD000UTSTOM,B,100000319675,258,1,60.1525,100000,,
277,USD000UTSTOM,B,100000319791,259,1,62.99,25000,,
278,USD000UTSTOM,S,100000320056,260,1,66.95,1000,,
279,USD000UTSTOM,B,100000320895,261,1,61.85,10000,,
280,USD000UTSTOM,B,100000320906,262,1,60,100000,,
281,USD000UTSTOM,S,100000321629,263,1,63.29,25000,,
282,USD000UTSTOM,B,100000321629,48,2,63.335,25000,168009388,63.335
283,USD000UTSTOM,S,100000321629,263,2,63.29,25000,168009388,63.335
284,USD000UTSTOM,S,100000322678,264,1,64.95,1000,,
285,USD000UTSTOM,B,100000322728,265,1,61.92,10000,,
286,USD000UTSTOM,B,100000322973,266,1,60.0575,1000,,
287,EUR_RUB__TOM,S,100000323175,267,1,76.54,3000000,,
288,EUR_RUB__TOM,S,100000323330,6,0,76.565,3000000,,
289,USD000UTSTOM,S,100000324076,268,1,63.3,2000,,
290,USD000UTSTOM,B,100000324076,48,2,63.335,2000,168009389,63.335
291,USD000UTSTOM,S,100000324076,268,2,63.3,2000,168009389,63.335
292,USD000UTSTOM,B,100000324873,269,1,60.8,5000,,
293,USD000UTSTOM,S,100000324929,270,1,65.95,1000,,
294,USD000UTSTOM,S,100000325412,252,0,65.9975,100000,,
295,USD000UTSTOM,S,100000325412,271,1,65.8775,100000,,
296,USD000UTSTOM,B,100000326421,272,1,62.2,1000,,
297,USD000UTSTOM,S,100000326906,273,1,64,1000,,
298,USD000UTSTOM,B,100000327168,274,1,60.3175,1000,,
299,USD000UTSTOM,S,100000328846,275,1,65,2000,,
300,USD000UTSTOM,B,100000329429,276,1,60.475,1000,,
301,USD000UTSTOM,S,100000330692,277,1,65,1000,,
302,USD000UTSTOM,B,100000331792,278,1,60.47,30000,,
303,USD000UTSTOM,S,100000332612,279,1,63.5,1000,,
304,USD000UTSTOM,B,100000332692,280,1,60.6,1000,,
305,USD000UTSTOM,B,100000334443,281,1,58.4,10000,,
306,USD000UTSTOM,B,100000334626,282,1,60.4775,2000,,
307,USD000UTSTOM,S,100000335682,283,1,63.4,4000,,
308,USD000UTSTOM,S,100000336560,284,1,63.25,3000,,
309,USD000UTSTOM,B,100000336560,48,2,63.335,3000,168009390,63.335
310,USD000UTSTOM,S,100000336560,284,2,63.25,3000,168009390,63.335
311,USD000UTSTOM,S,100000336588,285,1,65.3,10000,,
312,USD000UTSTOM,B,100000338653,286,1,61,1000,,
313,USD000UTSTOM,B,100000339118,287,1,59.9,4000,,
314,USD000UTSTOM,S,100000340553,288,1,63.3,10000,,
315,USD000UTSTOM,B,100000340553,48,2,63.335,10000,168009391,63.335
316,USD000UTSTOM,S,100000340553,288,2,63.3,10000,168009391,63.335
317,USD000UTSTOM,S,100000340623,289,1,63.33,1500000,,
318,USD000UTSTOM,B,100000340623,48,2,63.335,32000,168009392,63.335
319,USD000UTSTOM,S,100000340623,289,2,63.33,32000,168009392,63.335
320,USD000UTSTOM,S,100000341515,290,1,63.325,100000,,
321,USD000UTSTOM,B,100000341515,49,2,63.325,100000,168009393,63.325
322,USD000UTSTOM,S,100000341515,290,2,63.325,100000,168009393,63.325
323,USD000UTSTOM,S,100000341529,291,1,63.325,13000,,
324,USD000UTSTOM,S,100000341529,291,0,63.325,13000,,
325,USD000UTSTOM,B,100000341650,292,1,59.75,1000,,
326,EUR_RUB__TOM,B,100000342193,47,0,76.065,1000000,,
327,USD000UTSTOM,S,100000342303,293,1,63.325,100000,,
328,USD000UTSTOM,S,100000342303,293,0,63.325,100000,,
329,USD000UTSTOM,B,100000342635,294,1,61.3125,1000,,
330,USD000UTSTOM,S,100000342699,295,1,63.325,40000,,
331,USD000UTSTOM,S,100000342699,295,0,63.325,40000,,
332,EUR_RUB__TOM,S,100000343357,267,0,76.54,3000000,,
333,USD000UTSTOM,S,100000344332,296,1,65,5000,,
334,USD000UTSTOM,B,100000344615,297,1,61.2,2000,,
335,USD000UTSTOM,B,100000346514,298,1,58.96,5000,,
336,USD000UTSTOM,B,100000346547,299,1,60.7,100000,,
337,USD000UTSTOM,B,100000347068,258,0,60.1525,100000,,
338,USD000UTSTOM,B,100000347068,300,1,60.7025,100000,,
339,USD000UTSTOM,B,100000348402,301,1,61.05,59000,,
340,USD000UTSTOM,B,100000348887,302,1,60,100000,,
341,USD000UTSTOM,B,100000349780,303,1,61.72,10000,,
342,USD000UTSTOM,B,100000350463,304,1,61.25,5000,,
343,USD000UTSTOM,B,100000351088,305,1,61.45,5000,,
344,USD000UTSTOM,B,100000351217,306,1,60.5,9000,,
345,USD000UTSTOM,B,100000352348,307,1,61.0075,1000,,
346,USD000UTSTOM,S,100000353332,308,1,63.335,5000,,
347,USD000UTSTOM,B,100000353583,309,1,61,1000,,
348,USD000UTSTOM,B,100000354265,310,1,61.35,5000,,
349,USD000UTSTOM,S,100000355963,311,1,65.445,69000,,
350,USD000UTSTOM,B,100000356217,312,1,61.25,2000,,
351,USD000UTSTOM,B,100000358177,313,1,59,1000,,
352,USD000UTSTOM,B,100000358397,314,1,60,300000,,
353,USD000UTSTOM,B,100000360089,315,1,61.4,3000,,
354,USD000UTSTOM,B,100000360704,316,1,61.05,100000,,
355,USD000UTSTOM,B,100000361028,317,1,63.27,100000,,
356,USD000UTSTOM,B,100000361196,300,0,60.7025,100000,,
357,USD000UTSTOM,B,100000361196,318,1,61.0525,100000,,
358,USD000UTSTOM,B,100000362033,319,1,61.4,1000,,
359,USD000UTSTOM,B,100000363075,320,1,60.815,8000,,
360,USD000UTSTOM,S,100000363896,321,1,65,15000,,
361,USD000UTSTOM,S,100000364488,322,1,63.69,1000,,
362,EUR_RUB__TOM,S,100000364628,148,0,76.2325,200000,,
363,EUR_RUB__TOM,S,100000364628,323,1,76.1925,200000,,
364,USD000UTSTOM,B,100000365529,324,1,60.3,5000,,
365,USD000UTSTOM,S,100000365845,325,1,65.3,7000,,
366,USD000UTSTOM,B,100000367866,326,1,61.4,10000,,
367,USD000UTSTOM,B,100000367910,327,1,61.1025,15000,,
368,USD000UTSTOM,S,100000368868,328,1,63.285,10000,,
369,USD000UTSTOM,B,100000369736,329,1,61.5,1000,,
370,USD000UTSTOM,S,100000370096,330,1,64.02,2000,,
371,USD000UTSTOM,S,100000370221,331,1,64.5,1000,,
372,USD000UTSTOM,B,100000371695,332,1,61,1000,,
373,USD000UTSTOM,S,100000371971,333,1,63.79,86000,,
374,USD000UTSTOM,B,100000372515,334,1,60.1,1000,,
375,USD000UTSTOM,S,100000373613,335,1,64.2825,1000,,
376,USD000UTSTOM,B,100000374776,336,1,63.01,8000,,
377,USD000UTSTOM,B,100000374819,337,1,60.86,1000,,
378,USD000UTSTOM,S,100000375522,338,1,64.7775,1000,,
379,USD000UTSTOM,B,100000375948,339,1,62.7775,100000,,
380,USD000UTSTOM,B,100000376282,340,1,63.285,10000,,
381,USD000UTSTOM,B,100000376282,340,2,63.285,10000,168009394,63.285
382,USD000UTSTOM,S,100000376282,328,2,63.285,10000,168009394,63.285
383,USD000UTSTOM,B,100000376316,341,1,63.285,10000,,
384,USD000UTSTOM,B,100000376316,341,0,63.285,10000,,
385,USD000UTSTOM,B,100000377177,342,1,61,5000,,
386,USD000UTSTOM,S,100000377447,343,1,64.095,1000,,
387,USD000UTSTOM,B,100000378122,344,1,63.035,78000,,
388,USD000UTSTOM,S,100000379347,345,1,65,13000,,
389,USD000UTSTOM,B,100000379501,346,1,60.87,1000,,
390,USD000UTSTOM,S,100000381271,347,1,64.7275,7000,,
391,USD000UTSTOM,S,100000381600,348,1,64.4975,150000,,
392,USD000UTSTOM,B,100000381815,349,1,58.84,1000,,
393,USD000UTSTOM,S,100000382178,271,0,65.8775,100000,,
394,USD000UTSTOM,S,100000382178,350,1,64.9475,100000,,
395,USD000UTSTOM,B,100000383446,351,1,61.5,20000,,
396,USD000UTSTOM,B,100000384218,352,1,61.005,1000,,
397,USD000UTSTOM,S,100000384888,353,1,63.335,5000,,
398,USD000UTSTOM,S,100000385230,354,1,63.63,50000,,
399,USD000UTSTOM,B,100000385407,355,1,60,1000,,
400,USD000UTSTOM,S,100000386812,356,1,64,5000,,
401,USD000UTSTOM,S,100000387345,357,1,63.9,5000,,
402,USD000UTSTOM,S,100000389197,358,1,63.5,5000,,
403,USD000UTSTOM,S,100000389223,359,1,63.4,1000,,
404,USD000UTSTOM,B,100000391129,360,1,61.345,1000,,
405,USD000UTSTOM,S,100000391139,361,1,63.5,60000,,
406,USD000UTSTOM,B,100000391556,362,1,60.5,15000,,
407,USD000UTSTOM,B,100000393032,363,1,60.865,1000,,
408,EUR_RUB__TOM,B,100000393238,9,0,76.035,3000000,,
409,EUR_RUB__TOM,S,100000393756,364,1,76.565,3000000,,
410,USD000UTSTOM,B,100000393819,365,1,63,40000,,
411,USD000UTSTOM,S,100000393926,366,1,64.5,3000,,
412,USD000UTSTOM,B,100000395062,367,1,61.5775,2000,,
413,USD000UTSTOM,B,100000396176,368,1,61.3,50000,,
414,USD000UTSTOM,S,100000396988,369,1,63.2,3000,,
415,USD000UTSTOM,B,100000396988,317,2,63.27,3000,168009395,63.27
416,USD000UTSTOM,S,100000396988,369,2,63.2,3000,168009395,63.27
417,USD000UTSTOM,B,100000397014,370,1,63.33,1000000,,
418,USD000UTSTOM,B,100000397014,370,2,63.33,1000000,168009396,63.33
419,USD000UTSTOM,S,100000397014,289,2,63.33,1000000,168009396,63.33
420,USD000UTSTOM,B,100000398562,371,1,61.3,30000,,
421,USD000UTSTOM,S,100000399165,372,1,64.1125,2000,,
422,USD000UTSTOM,B,100000400903,373,1,61,100000,,
423,USD000UTSTOM,S,100000401038,374,1,64.2975,1000,,
424,USD000UTSTOM,S,100000402975,375,1,65.985,1000,,
425,USD000UTSTOM,B,100000403224,376,1,58.64,1000,,
426,EURUSD000TOM,S,100000403336,377,1,1.2017,1000000,,
427,USD000UTSTOM,S,100000405128,378,1,64.95,1000,,
428,USD000UTSTOM,B,100000405598,379,1,61.22,4000,,
